Abbreviation	Name	Reaction	Reactions with MetNames	GPR	Genes	Protein	Subsystems	KEGGSubsys	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC. Number	Notes	References
PA_Biomass_v14	Pseudomonas biomass	0.016114 cpd00294[c] + 0.03128 cpd00206[c] + 0.03128 cpd00296[c] + 0.016114 cpd00298[c] + 0.10147 cpd00018[c] + 0.20202 cpd00046[c] + 0.19855 cpd00126[c] + 0.099817 cpd00091[c] + 0.43505 cpd00035[c] + 0.28478 cpd00051[c] + 0.098535 cpd00132[c] + 0.19852 cpd00041[c] + 0.037522 cpd00084[c] + 0.22711 cpd00023[c] + 0.15885 cpd00053[c] + 0.31517 cpd00033[c] + 0.080962 cpd00119[c] + 0.15571 cpd00322[c] + 0.46473 cpd00107[c] + 0.10702 cpd00039[c] + 0.075597 cpd00060[c] + 0.13262 cpd00066[c] + 0.18967 cpd00129[c] + 0.20628 cpd00054[c] + 0.15587 cpd00161[c] + 0.055547 cpd00065[c] + 0.094677 cpd00069[c] + 0.25796 cpd00156[c] + 2.5e-005 cpd00155[c] + 0.047824 cpd15531[c] + 0.0020692 cpd15533[c] + 0.020287 cpd15532[c] + 0.068198 cpd15534[c] + 0.0013602 cPY00124[c] + 0.0030243 cPY00129[c] + 0.012557 cpd15538[c] + 0.00042166 cpd15540[c] + 0.0037982 cpd15539[c] + 0.011557 cpd15541[c] + 0.00079222 cPY00132[c] + 0.0015844 cPY00135[c] + 0.0078591 cpd15428[c] + 0.00037815 cpd15430[c] + 0.0041649 cpd15429[c] + 0.011889 cpd15431[c] + 0.00053681 cPY00138[c] + 0.00097843 cPY00140[c] + 0.56945 cpd00118[c] + 0.053367 cpd15665[c] + 0.025523 cpd17066[c] + 0.0001 cpd00028[c] + 0.0001 cJB00125[c] + 0.0001 cpd00125[c] + 59.81 cpd00002[c] + 59.81 cpd00001[c] -> 59.81 cpd00067[c] + 0.69664 cpd00012[c] + 59.81 cpd00008[c] + 59.81 cpd00009[c]	0.016114 dAMP + 0.03128 dCMP + 0.03128 dGMP + 0.016114 dTMP + 0.10147 AMP + 0.20202 CMP + 0.19855 GMP + 0.099817 UMP + 0.43505 L-Alanine + 0.28478 L-Arginine + 0.098535 L-Asparagine + 0.19852 L-Aspartate + 0.037522 L-Cysteine + 0.22711 L-Glutamate + 0.15885 L-Glutamine + 0.31517 Glycine + 0.080962 L-Histidine + 0.15571 L-Isoleucine + 0.46473 L-Leucine + 0.10702 L-Lysine + 0.075597 L-Methionine + 0.13262 L-Phenylalanine + 0.18967 L-Proline + 0.20628 L-Serine + 0.15587 L-Threonine + 0.055547 L-Tryptophan + 0.094677 L-Tyrosine + 0.25796 L-Valine + 2.5e-005 Glycogen + 0.047824 phosphatidylethanolamine_dihexadecanoyl + 0.0020692 phosphatidylethanolamine_dioctadecanoyl + 0.020287 phosphatidylethanolamine_dihexadec-9enoyl + 0.068198 phosphatidylethanolamine_dioctadec-11-enoyl + 0.0013602 pe170cyc + 0.0030243 pe190cyc + 0.012557 Phosphatidylglycerol_dihexadecanoyl + 0.00042166 Phosphatidylglycerol_dioctadecanoyl + 0.0037982 Phosphatidylglycerol_dihexadec-9-enoyl + 0.011557 Phosphatidylglycerol_dioctadec-11-enoyl + 0.00079222 pg170cyc + 0.0015844 pg190cyc + 0.0078591 clpn160 + 0.00037815 clpn180 + 0.0041649 clpn161 + 0.011889 clpn181 + 0.00053681 clpn170cyc + 0.00097843 clpn190cyc + 0.56945 Putrescine + 0.053367 Peptidoglycan polymer (n subunits) + 0.025523 Pseudomonas aeruginosa Lipid A + 0.0001 Heme + 0.0001 Ubiquinol-9 + 0.0001 5-10-Methylenetetrahydrofolate + 59.81 ATP + 59.81 H2O -> 59.81 H+ + 0.69664 PPi + 59.81 ADP + 59.81 Phosphate				Exchange		0	0	1000	1				
PA_Biomass_v13ub	Pseudomonas biomass	0.016114 cpd00294[c] + 0.03128 cpd00206[c] + 0.03128 cpd00296[c] + 0.016114 cpd00298[c] + 0.10147 cpd00018[c] + 0.20202 cpd00046[c] + 0.19855 cpd00126[c] + 0.099817 cpd00091[c] + 0.43505 cpd00035[c] + 0.28478 cpd00051[c] + 0.098535 cpd00132[c] + 0.19852 cpd00041[c] + 0.037522 cpd00084[c] + 0.22711 cpd00023[c] + 0.15885 cpd00053[c] + 0.31517 cpd00033[c] + 0.080962 cpd00119[c] + 0.15571 cpd00322[c] + 0.46473 cpd00107[c] + 0.10702 cpd00039[c] + 0.075597 cpd00060[c] + 0.13262 cpd00066[c] + 0.18967 cpd00129[c] + 0.20628 cpd00054[c] + 0.15587 cpd00161[c] + 0.055547 cpd00065[c] + 0.094677 cpd00069[c] + 0.25796 cpd00156[c] + 2.5e-005 cpd00155[c] + 0.047824 cpd15531[c] + 0.0020692 cpd15533[c] + 0.020287 cpd15532[c] + 0.068198 cpd15534[c] + 0.0013602 cPY00124[c] + 0.0030243 cPY00129[c] + 0.012557 cpd15538[c] + 0.00042166 cpd15540[c] + 0.0037982 cpd15539[c] + 0.011557 cpd15541[c] + 0.00079222 cPY00132[c] + 0.0015844 cPY00135[c] + 0.0078591 cpd15428[c] + 0.00037815 cpd15430[c] + 0.0041649 cpd15429[c] + 0.011889 cpd15431[c] + 0.00053681 cPY00138[c] + 0.00097843 cPY00140[c] + 0.56945 cpd00118[c] + 0.053367 cpd15665[c] + 0.025523 cpd17066[c] + 1e-006 cpd00028[c] + 1e-006 cJB00125[c] + 59.81 cpd00002[c] + 59.81 cpd00001[c] -> 59.81 cpd00067[c] + 0.69664 cpd00012[c] + 59.81 cpd00008[c] + 59.81 cpd00009[c]	0.016114 dAMP + 0.03128 dCMP + 0.03128 dGMP + 0.016114 dTMP + 0.10147 AMP + 0.20202 CMP + 0.19855 GMP + 0.099817 UMP + 0.43505 L-Alanine + 0.28478 L-Arginine + 0.098535 L-Asparagine + 0.19852 L-Aspartate + 0.037522 L-Cysteine + 0.22711 L-Glutamate + 0.15885 L-Glutamine + 0.31517 Glycine + 0.080962 L-Histidine + 0.15571 L-Isoleucine + 0.46473 L-Leucine + 0.10702 L-Lysine + 0.075597 L-Methionine + 0.13262 L-Phenylalanine + 0.18967 L-Proline + 0.20628 L-Serine + 0.15587 L-Threonine + 0.055547 L-Tryptophan + 0.094677 L-Tyrosine + 0.25796 L-Valine + 2.5e-005 Glycogen + 0.047824 phosphatidylethanolamine_dihexadecanoyl + 0.0020692 phosphatidylethanolamine_dioctadecanoyl + 0.020287 phosphatidylethanolamine_dihexadec-9enoyl + 0.068198 phosphatidylethanolamine_dioctadec-11-enoyl + 0.0013602 pe170cyc + 0.0030243 pe190cyc + 0.012557 Phosphatidylglycerol_dihexadecanoyl + 0.00042166 Phosphatidylglycerol_dioctadecanoyl + 0.0037982 Phosphatidylglycerol_dihexadec-9-enoyl + 0.011557 Phosphatidylglycerol_dioctadec-11-enoyl + 0.00079222 pg170cyc + 0.0015844 pg190cyc + 0.0078591 clpn160 + 0.00037815 clpn180 + 0.0041649 clpn161 + 0.011889 clpn181 + 0.00053681 clpn170cyc + 0.00097843 clpn190cyc + 0.56945 Putrescine + 0.053367 Peptidoglycan polymer (n subunits) + 0.025523 Pseudomonas aeruginosa Lipid A + 1e-006 Heme + 1e-006 Ubiquinol-9 + 59.81 ATP + 59.81 H2O -> 59.81 H+ + 0.69664 PPi + 59.81 ADP + 59.81 Phosphate				Exchange		0	0	1000	1			*JAB 04/15/14 - added ubiquinol-9	
PA_Biomass_v13	Pseudomonas biomass	0.016114 cpd00294[c] + 0.03128 cpd00206[c] + 0.03128 cpd00296[c] + 0.016114 cpd00298[c] + 0.10147 cpd00018[c] + 0.20202 cpd00046[c] + 0.19855 cpd00126[c] + 0.099817 cpd00091[c] + 0.43505 cpd00035[c] + 0.28478 cpd00051[c] + 0.098535 cpd00132[c] + 0.19852 cpd00041[c] + 0.037522 cpd00084[c] + 0.22711 cpd00023[c] + 0.15885 cpd00053[c] + 0.31517 cpd00033[c] + 0.080962 cpd00119[c] + 0.15571 cpd00322[c] + 0.46473 cpd00107[c] + 0.10702 cpd00039[c] + 0.075597 cpd00060[c] + 0.13262 cpd00066[c] + 0.18967 cpd00129[c] + 0.20628 cpd00054[c] + 0.15587 cpd00161[c] + 0.055547 cpd00065[c] + 0.094677 cpd00069[c] + 0.25796 cpd00156[c] + 2.5e-005 cpd00155[c] + 0.047824 cpd15531[c] + 0.0020692 cpd15533[c] + 0.020287 cpd15532[c] + 0.068198 cpd15534[c] + 0.0013602 cPY00124[c] + 0.0030243 cPY00129[c] + 0.012557 cpd15538[c] + 0.00042166 cpd15540[c] + 0.0037982 cpd15539[c] + 0.011557 cpd15541[c] + 0.00079222 cPY00132[c] + 0.0015844 cPY00135[c] + 0.0078591 cpd15428[c] + 0.00037815 cpd15430[c] + 0.0041649 cpd15429[c] + 0.011889 cpd15431[c] + 0.00053681 cPY00138[c] + 0.00097843 cPY00140[c] + 0.56945 cpd00118[c] + 0.053367 cpd15665[c] + 0.025523 cpd17066[c] + 1e-006 cpd00028[c] + 59.81 cpd00002[c] + 59.81 cpd00001[c] -> 59.81 cpd00067[c] + 0.69664 cpd00012[c] + 59.81 cpd00008[c] + 59.81 cpd00009[c]	0.016114 dAMP + 0.03128 dCMP + 0.03128 dGMP + 0.016114 dTMP + 0.10147 AMP + 0.20202 CMP + 0.19855 GMP + 0.099817 UMP + 0.43505 L-Alanine + 0.28478 L-Arginine + 0.098535 L-Asparagine + 0.19852 L-Aspartate + 0.037522 L-Cysteine + 0.22711 L-Glutamate + 0.15885 L-Glutamine + 0.31517 Glycine + 0.080962 L-Histidine + 0.15571 L-Isoleucine + 0.46473 L-Leucine + 0.10702 L-Lysine + 0.075597 L-Methionine + 0.13262 L-Phenylalanine + 0.18967 L-Proline + 0.20628 L-Serine + 0.15587 L-Threonine + 0.055547 L-Tryptophan + 0.094677 L-Tyrosine + 0.25796 L-Valine + 2.5e-005 Glycogen + 0.047824 phosphatidylethanolamine_dihexadecanoyl + 0.0020692 phosphatidylethanolamine_dioctadecanoyl + 0.020287 phosphatidylethanolamine_dihexadec-9enoyl + 0.068198 phosphatidylethanolamine_dioctadec-11-enoyl + 0.0013602 pe170cyc + 0.0030243 pe190cyc + 0.012557 Phosphatidylglycerol_dihexadecanoyl + 0.00042166 Phosphatidylglycerol_dioctadecanoyl + 0.0037982 Phosphatidylglycerol_dihexadec-9-enoyl + 0.011557 Phosphatidylglycerol_dioctadec-11-enoyl + 0.00079222 pg170cyc + 0.0015844 pg190cyc + 0.0078591 clpn160 + 0.00037815 clpn180 + 0.0041649 clpn161 + 0.011889 clpn181 + 0.00053681 clpn170cyc + 0.00097843 clpn190cyc + 0.56945 Putrescine + 0.053367 Peptidoglycan polymer (n subunits) + 0.025523 Pseudomonas aeruginosa Lipid A + 1e-006 Heme + 59.81 ATP + 59.81 H2O -> 59.81 H+ + 0.69664 PPi + 59.81 ADP + 59.81 Phosphate				Exchange		0	0	1000	1			*PY 04/15/14 - Updated Biomass including lipids, lipid A, and heme	
PA_Biomass_v4	Pseudomonas biomass limited lipids	0.016114 cpd00294[c] + 0.03128 cpd00206[c] + 0.03128 cpd00296[c] + 0.016114 cpd00298[c] + 0.10147 cpd00018[c] + 0.20202 cpd00046[c] + 0.19855 cpd00126[c] + 0.099817 cpd00091[c] + 0.43505 cpd00035[c] + 0.28478 cpd00051[c] + 0.098535 cpd00132[c] + 0.19852 cpd00041[c] + 0.037522 cpd00084[c] + 0.22711 cpd00023[c] + 0.15885 cpd00053[c] + 0.31517 cpd00033[c] + 0.080962 cpd00119[c] + 0.15571 cpd00322[c] + 0.46473 cpd00107[c] + 0.10702 cpd00039[c] + 0.075597 cpd00060[c] + 0.13262 cpd00066[c] + 0.18967 cpd00129[c] + 0.20628 cpd00054[c] + 0.15587 cpd00161[c] + 0.055547 cpd00065[c] + 0.094677 cpd00069[c] + 0.25796 cpd00156[c] + 2.5e-05 cpd00155[c] + 0.047824 cpd15531[c] + 0.0020692 cpd15533[c] + 0.020287 cpd15532[c] + 0.068198 cpd15534[c] + 0.012557 cpd15538[c] + 0.00042166 cpd15540[c] + 0.0037982 cpd15539[c] + 0.011557 cpd15541[c] + 0.56945 cpd00118[c] + 0.053367 cpd15665[c] + 59.81 cpd00002[c] + 59.81 cpd00001[c] + 0.025523 cpd17066[c] + 1e-06 cpd00028[c] -> 59.81 cpd00067[c] + 0.69664 cpd00012[c] + 59.81 cpd00008[c] + 59.81 cpd00009[c]	0.016114 dAMP + 0.03128 dCMP + 0.03128 dGMP + 0.016114 dTMP + 0.10147 AMP + 0.20202 CMP + 0.19855 GMP + 0.099817 UMP + 0.43505 L-Alanine + 0.28478 L-Arginine + 0.098535 L-Asparagine + 0.19852 L-Aspartate + 0.037522 L-Cysteine + 0.22711 L-Glutamate + 0.15885 L-Glutamine + 0.31517 Glycine + 0.080962 L-Histidine + 0.15571 L-Isoleucine + 0.46473 L-Leucine + 0.10702 L-Lysine + 0.075597 L-Methionine + 0.13262 L-Phenylalanine + 0.18967 L-Proline + 0.20628 L-Serine + 0.15587 L-Threonine + 0.055547 L-Tryptophan + 0.094677 L-Tyrosine + 0.25796 L-Valine + 2.5e-05 Glycogen + 0.047824 phosphatidylethanolamine_dihexadecanoyl + 0.0020692 phosphatidylethanolamine_dioctadecanoyl + 0.020287 phosphatidylethanolamine_dihexadec-9enoyl + 0.068198 phosphatidylethanolamine_dioctadec-11-enoyl + 0.012557 Phosphatidylglycerol_dihexadecanoyl + 0.00042166 Phosphatidylglycerol_dioctadecanoyl + 0.0037982 Phosphatidylglycerol_dihexadec-9-enoyl + 0.011557 Phosphatidylglycerol_dioctadec-11-enoyl + 0.56945 Putrescine + 0.053367 Peptidoglycan polymer (n subunits) + 59.81 ATP + 59.81 H2O + 0.025523 Pseudomonas aeruginosa Lipid A + 1e-06 Heme -> 59.81 H+ + 0.69664 PPi + 59.81 ADP + 59.81 Phosphate				Exchange		0	0	1000	1			*JAB 02/25/14 - added lipidA to reactants with appropriate stoichiometry	
rxn13785	1,2-diacyl-sn-glycerol 3-phosphate synthesis	0.5 cpd00080[c] + 0.13 cpd15239[c] + 0.03 cpd15268[c] + 0.33 cpd15277[c] + 0.51 cpd15572[c]  <=> 0.01 cpd11422[c] + cpd11493[c] 	0.5 Glycerol-3-phosphate + 0.13 Hexadecenoyl-ACP + 0.03 Octadecanoyl-ACP + 0.33 Palmitoyl-ACP + 0.51 trans-octadec-2-enoyl-[acyl-carrier protein]  <=> 0.01 1,2-diacyl-sn-glycerol 3-phosphate + ACP 	(PA0005 and PA3673)	PA0005 PA3673				1	-1000	1000	0				
rxn02250	1,3-diaminopropane oxidase	cpd00001[c] + cpd00007[c] + cpd00726[c]  -> cpd00013[c] + cpd00025[c] + cpd01504[c] 	H2O + O2 + 1,3-Propanediamine  -> NH3 + H2O2 + 3-Aminopropanal 		 		Exchange	beta-Alanine metabolism	0	0	1000	0		1.4.3.21, 1.4.3.22		
rxn13787	pyocyanin synthesis	cpd00007[c] + cpd00004[c] + cpd00067[c] + cpd17083[c]  <=> cpd00001[c] + cpd00003[c] + cpd00011[c] + cpd17044[c] 	O2 + NADH + H+ + phenazine-1-carboxylic acid  <=> H2O + NAD + CO2 + 1-hydroxyphenazine 	PA4217	PA4217				1	-1000	1000	0				
rxn13788	1-pyrroline dehydrogenase	2 cpd00001[c] + cpd00003[c] + cpd11311[c]  <=> cpd00004[c] + cpd00067[c] + cpd00281[c] 	2 H2O + NAD + 1-Pyrroline  <=> NADH + H+ + GABA 	PA5373	PA5373			Arginine and proline metabolism	1	-1000	1000	0			*ASB 03/28/14 - tentative subsystem assignment	
rxn04786	L-2,4-diaminobutyrate:2-ketoglutarate 4-aminotransferase, PvdH	cpd00023[c] + cpd00346[c]  <=> cpd00024[c] + cpd02095[c] 	L-Glutamate + L-Aspartate4-semialdehyde  <=> 2-Oxoglutarate + L-2,4-Diaminobutyrate 	PA2413	PA2413			Glycine, serine and threonine metabolism	1	-1000	1000	0		2.6.1.76, 2.6.1.-		
rxn13789	delta-aminovalerate aminotransferase	cpd00024[c] + cpd17076[c]  <=> 2 cpd00067[c] + cpd00023[c] + cpd02089[c] 	2-Oxoglutarate + delta-aminovalerate  <=> 2 H+ + L-Glutamate + 5-Oxopentanoate 		 		Exchange	Lysine degradation	1	-1000	1000	0		2.6.1.48		
